NEVOgroep|product_naam_f|energiewaardeinkcal_kcal|eiwittotaal_g|vettotaal_g|vetzurenverzadigd_g|zout_g|koolhydraten_g|monoendisacchariden_g|ingredienttekst
Gebak en koek|Liga 175g tweede fase ea|390.0|6.5|7.4|0.7|0.55|73.0|22.0|TARWEBLOEM 68,4%, suiker, koolzaadolie, glucose-fructosestroop, glucosestroop, rijsmiddelen (ammoniumwaterstofcarbonaat, dinatriumdifosfaat, natriumwaterstofcarbonaat), zout, emulgator (SOJALECITHINE), TARWEZETMEEL, aroma, vitamine B1. KAN EI, MELK EN SES
Gebak en koek|Melkboter wervelingen|477.0|6.5|23.3|15.0|0.79|59.6|26.9|TARWEBLOEM, 28% roomboter (MELK), suiker, gist, zout.
Gebak en koek|Gouden twister roomboter delicaat 200gr|453.0|3.7|23.8|15.2|0.6|55.5|26.9|TARWEbloem, 27% roomboter (MELK), suiker, gecarameliseerde suiker (suiker, dextrose, boter (MELK)), 2% chocolade (suiker, cacaomassa, cacaoboter, emulgator (SOJAlecithine), aroma (MELK)), dextrose, stabilisator (sorbitol, glycerol), aardbei, glucose-fruct
Fruit|Tropische Kokosbites 125g|415.0|4.0|40.0|30.5|0.063|3.0|1.0|kokos.
Suiker, snoep, zoet beleg en zoete sauzen|Janssen kokosplakje light 250 g|328.0|2.4|21.8|19.3|0.11|22.0|5.2|Kokos 34%, natuurlijke zoetstof uit appels en peren, cichorei wortel vezel, glutenvrij TARWEzetmeel, verdikkingsmiddelen (xanthaangom, johannesbroodpitmeel), kleurstof (natuurlijk karmijnzuur), aroma
Vleesvervangers en zuivelvervangers|Kraai Flix coconut cream uht 10x950 ml|175.0|2.1|17.5|15.2|0.08|2.2|2.0|Kokos extrakt (50%), water, Xanthaan gum (E415), polysorbaat (E435)
Groente|Crispioenzame|13.0|0.7|0.4|0.1|0.005|1.3|1.3|Komkommer.
Groente|Koolzuur|18.0|1.0|0.0|0.0|1.5|1.0|0.0|98% Witte kool, zout, antioxidant: ascorbinezuur
Vlees en gevogelte|Haasbeen|175.0|21.0|10.0|3.0|0.13|0.0|0.0|konijnenbout.
Vlees en gevogelte|The carnivore's konijnenbout deluxe ca. 450 g|174.0|21.0|10.0|2.3|0.1|0.0|0.0|100% konijnenvlees
Groente|Asian Kraut|17.0|1.0|0.0|0.0|0.0|2.0|2.0|
Groente|Verde kool||||||||
Groente|Zokk rode koelen 750gram|36.0|0.7|0.0|0.0|0.4|7.6|6.5|Rode kool (73%), water, suiker, natuurazijn,. maiszetmeel, zeezout.
Groente|Lekker rodekool met appelblokjes 180gram|49.0|0.7|0.0|0.0|0.4|10.8|9.7|Rode kool (66%), water, suiker, appelstukjes (6,8%), natuurazijn, maiszetmeel, zeezout.
Groente|Rode Kroon|39.0|0.9|0.2|0.0|0.4|7.0|6.2|rode kool, water, suiker, azijn, gemodificeerd maïszetmeel, zout.
Groente|Paars kool met perzik|57.0|0.7|0.3|0.0|0.7|11.9|10.2|rode kool 77%, water, appel 7%, rietsuiker, azijn, maiszetmeel, zeezout.
Groente|Paarse kool met peren|49.0|1.5|0.0|0.0|0.4|9.5|8.0|59% rodekool, water, 7,5% appel, suiker, azijn, maïszetmeel, zout.
Groente|Gesnipperde krulkool|42.0|3.0|1.0|0.2|0.1|4.0|4.0|Spitskool.
Vis, schaal- en schelpdieren|Royal krab luxe 175 g|50.0|11.0|0.0|0.0|0.85|1.0|0.0|Krab (60% vlees en 40% poten) (71,18%), water (27,49%), zout (0,96%), suiker (0,31%), citroenzuur E330 (0,06%), sodium metabisulfite (0,001%)
Alcoholische dranken|Hollandse kruidenlikorette||||||||
Gebak en koek|Bolletje speculaasbolletjes melk choco trek|486.0|5.6|19.0|11.0|0.68|72.0|47.0|45% witte chocolade (suiker, cacaoboter, volle MELKPOEDER, MELKSUIKER, magere MELKPOEDER, emulgator (SOJALECITHINE), natuurlijk vanille aroma), TARWEBLOEM, suiker, plantaardige oliën (palm, raap), glucose-fructosestroop, kruidnootjeskruiden (bevat kaneel)
Melk en melkproducten|Bergvoor gezellig & luchtig kwark framboos 500 g|72.0|7.6|0.1|0.1|0.11|9.5|8.9|Magere kwark, magere milde yoghurt (met L. acidophilus (bevat melk)), 7% aardbeien, suiker, 3% aardbeiensap uit concentraat, 0,5% melkeiwitten, gelatine, plantenconcentraat (wortel), natuurlijk aroma, lactase, vitamine B2, B6 en B12
Gebak en koek|Speculaadbites zwart|487.0|5.7|23.4|13.2|0.665|61.3|38.7|50% Kruidnoot (TARWEBLOEM, suiker, plantaardige olie (palm, raap), glucose-fructosestroop, specerijen, rijsmiddel: E450/E500/E503, zout, gebrande suiker), 50% pure chocolade (cacaomassa, suiker, cacaopoeder, emulgator: SOJALECITHINE, natuurlijk vanillearo
Gebak en koek|Speculozen kruidmelk|481.0|6.3|19.0|11.0|1.0|70.0|46.0|melkchocolade 48% (suiker, volle MELKPOEDER, cacaoboter, cacaomassa, weipoeder (MELK), emulgator (SOJALECITHINE), natuurlijk aroma), TARWEBLOEM, suiker, plantaardige oliën (palmolie, raapzaadolie), karamelsuikerstroop (fructose-glucosestroop, karamelsuike
Gebak en koek|Van Amstel pepernoten melkchocolade karamelzeezout|472.0|6.5|21.0|12.0|1.73|62.0|39.0|chocolade 47% (suiker, cacaomassa, cacaoboter, emulgator (SOJALECITHINE), natuurlijk aroma), TARWEBLOEM, suiker, glucosestroop, plantaardige oliën (palmolie, raapzaadolie), , zeezout 1,0%, specerijen (bevat o.a. kaneel), rijsmiddelen (natriumcarbonaten, a
Vlees en gevogelte|Lamsspies 250g|245.0|19.2|18.7|8.5|0.0|0.5|0.5|100% lamsvlees
Vlees en gevogelte|Hollandse Heideroos lamsbout ca. 250 g|173.0|19.2|10.8|4.4|0.06|0.0|0.0|100% lamsvlees
Vlees en gevogelte|The Carnivore's Dream Nieuw-Zeelandse Lamsrib ca. 970 g|245.0|19.2|18.7|8.5|0.0|0.5|0.5|100% lamsvlees
Samengestelde gerechten|Lasagne met vlees 1kg|148.0|7.0|7.41|2.7|0.85|12.66|2.6|water, varkensvlees Beter Leven 1 ster 20%, harde TARWEgriesmeel, geconcentreerde tomatenpuree 7,3%, tomaat 6,7%, kaas 4,5% (gepasteuriseerde MELK Beter Leven 3 sterren, zout, vegetarisch stremsel, zuursel), kaas 1,5% (gepasteuriseerde MELK, zout, vegetar
Vis, schaal- en schelpdieren|Smulhappies|140.0|13.043|5.519|0.686|0.582|9.372|0.551|"71% Atlantische heek (VIS)*, water, TARWEBLOEM, zonnebloemolie, gemodificeerd TARWEZETMEEL, rijstemeel, maïszetmeel, zout, dextrose, specerijen (peper, paprikapoeder, chilipoeder), rijsmiddel: E500/E503/E450, lavaswortel, gist, GERSTEMOUTEXTRACT. 
Dit pro"
Vlees en gevogelte|Kraapkriel|110.0|18.4|3.9|1.9|0.225|0.0|0.0|100% Kippenlever.
Vlees en gevogelte|Kraaiënlever|110.0|18.4|3.9|1.9|0.225|0.0|0.0|100% Kippenlever.
Vlees en gevogelte|Eendenlever|110.0|18.4|3.9|1.9|0.225|0.0|0.0|100% Kippenlever.
Vlees en gevogelte|Kuikenlever 450gr Prime+|110.0|18.4|3.9|1.9|0.225|0.0|0.0|100% kippenlever.
Alcoholische dranken|Dutchesse with a Touch of Mocha||||||||MILK
Alcoholische dranken|Lemoncella||||||||alcohol, sugar, infusion of lemon peels, natural flavours. Acidifying: citric acid.
Alcoholische dranken|Authentic Vanneke Advocaat||||||||Contains: barn EGGS
Fruit|Ethitrade citroenen|41.0|0.7|0.2|0.0|0.005|7.7|1.7|
Fruit|Citronellen|41.0|0.7|0.2|0.0|0.0|7.5|1.5|
Niet-alcoholische dranken|TropiFris Vruchtenmix Vrij Ananas Pompelmoes 1,5 lt pak|16.0|0.0|0.0|0.0|0.003|3.8|3.7|Water, vruchtensap uit concentraat (appel 37%, ananas 1%, mango 1%), natuurlijk aroma, koolzuur (<0,1%).
Niet-alcoholische dranken|Vita Ace Drank|47.0|0.0|0.0|0.0|0.0|11.0|11.0|Water, suiker, geconcentreerd sinasappelsap, glucose-fructosestroop, geconcentreerd citroen en wortelsap, aroma, stabilisator: pectine, conserveermiddelen: E202 en E211, beta-caroteen (pro-vitamine a) vitamine c, vitamine e
Peulvruchten|Mees groene erwten|315.0|21.0|2.0|0.7|0.025|43.0|6.0|Groene erwten
Fruit|||||||||
Graanproducten en bindmiddelen|Brezzi mlk flux 4x1500g|365.0|0.1|0.1|0.0|0.11|91.0|0.0|Gemodificeerd zetmeel. Bevat mogelijk MELK, EI, GLUTEN, SELDERIJ, SOJA, VIS.
Fruit|Sinaasappel in delicate siroop 180g|60.0|0.5|0.1|0.0|0.01|14.0|14.0|mandarijnen, water, suiker, voedingszuur: citroenzuur
Fruit|Sinaasappelpartjes op zachte siroop|43.0|0.8|0.0|0.0|0.0|9.5|8.5|mandarijn, druivensap uit concentraat.
Vetten en oliën|Sano Vita margarine 82% vet|725.0|0.0|80.0|22.0|0.0|0.0|0.0|plantaardige oliën (52% zonnebloem-, palmolie), water, zuurteregelaar: calciumcitraat, emulgator: mono-en diglyceriden van vetzuren, voedingszuur: citroenzuur, natuurlijk aroma, kleurstof: betacaroteen, vitamines A, D, foliumzuur, B12.
Vetten en oliën|Gastronoom vloeibare boter 500 ml PET fles premium (bo 500 ml)|657.0|0.0|73.0|7.1|1.34|0.0|0.0|"Plantaardige olie (raapzaad, zonnebloem, geheel geharde raapzaad), water, 1,5% zout, emulgator: E471/E322, conserveermiddel: E202, voedingszuur: citroenzuur, natuurlijk aroma, kleurstof: carotenen, vitamine A, vitamine D3.

Totaal vetgehalte: 82%"
Vetten en oliën|Bicel margarine / halvine dieet 2020 gr|530.0|0.5|60.0|12.0|0.02|0.5|0.5|"Plantaardige oliën (60%) (zonnebloem, lijnzaad, palm#), water, emulgatoren (zonnebloemlecithine, mono- en dyglyceriden van vetzuren), voedingszuur (citroenzuur), natuurlijke aroma, vitamine (A, D), kleurstof (caroteen).
#Dit is duurzame palmolie. Lees mee"
Vetten en oliën|Becol classic 250 g|398.0|0.5|45.0|9.1|0.02|0.5|0.5|Water, plantaardige oliën 45% (zonnebloem 26%, lijnzaad 11%, palm 6%, koolzaad 2%), emulgatoren (mono- en diglyceriden van vetzuren, zonnebloemlecithine), natuurlijk aroma, vitamine A & D
Suiker, snoep, zoet beleg en zoete sauzen|Lieve Oma's Oranje Marmelade|238.0|0.3|0.1|0.0|0.0|59.0|59.0|suiker, sinaasappel en schilreepjes, rietsuiker, geconcentreerd citroensap, geleermiddel: vruchtenpectine.
Suiker, snoep, zoet beleg en zoete sauzen|Tasje marsepein vruchtjes 100g premium|456.0|7.9|19.0|1.5|0.02|60.0|53.0|suiker, AMANDELEN 40%, glucosestroop, stabilisatoren: E420i, E422 en E1103, saffloerextract, spinazie-extract, kleurstor: E120. Kan sporen van MELK, EI, SOJA, andere NOTEN en GLUTEN bevatten.
Suiker, snoep, zoet beleg en zoete sauzen|Amandelizoentje|432.0|4.9|16.0|0.0|0.0|68.0|0.0|suiker, amandelen (23%), cacaomassa, glucosestroop, cacaoboter, volle melkpoeder, emulgatoren (sojalecithine, E476), bevochtigingsmiddel invertase, vanille extract. Kan noten bevatten.
Suiker, snoep, zoet beleg en zoete sauzen|Tasje marsepeinfruitjes|430.0|7.0|17.6|2.2|0.1|53.2|48.8|suiker, AMANDEL, stabilisator (E420), invertsuikersiroop, glucosestroop, cacaopoeder, naatuurlijk bittere AMANDELaroma, invertase.
Graanproducten en bindmiddelen|Gruismeel|340.0|11.0|0.8|0.3|0.0|69.0|0.0|tarwegriesmeel.
Diversen|Kruisman choco delight|411.0|12.0|9.9|8.6|0.94|66.0|56.0|suiker (42%), magere melkpoeder (25%), magere cacaopoeder (14%), kokosolie, glucosestroop, maltodextrine, stabilisator (kaliumfosfaten), zout, verdikkingsmiddel (xanthaangom), natuurlijke aroma's, gemodificeerd zetmeel, antiklontermiddel (siliciumdioxide)
Melk en melkproducten|Anna's geitenzuivel|58.0|2.8|3.4|2.5|0.083|4.1|4.1|hoog gepasteuriseerde GEITENMELK
Melk en melkproducten|Natuurlijke romige schapenmelk|62.0|3.4|3.5|2.5|0.1|4.2|4.2|
Melk en melkproducten||62.0|3.1|3.5|2.5|0.26|4.4|4.4|volle geitenMELK
Melk en melkproducten|Heide heerlijkheid karnemelk bessen mengelmoes|43.0|3.2|0.5|0.3|0.1|6.5|6.0|karneMELK, suiker, 2,1% aalbessen, maïszetmeel, 0,2% granaatappel, zwarte wortelsap concentraat, natuurlijk aroma.
Melk en melkproducten|Yakooma classic|66.0|1.3|0.0|0.0|0.04|15.4|13.6|water, magere MELK, glucose-fructosesiroop, suiker, maltodextrine, aroma, 20 miljard L. casei Shirota bacteriën
Fruit|Donderwolk pitzak|37.0|0.62|0.2|0.0|0.04|8.0|6.0|Watermeloen.
Fruit|Zomerbessen hapjes 250g|38.0|1.0|0.0|0.0|0.005|8.0|8.0|watermeloen.
Suiker, snoep, zoet beleg en zoete sauzen|Zilveren krakeling schuimtongen 12st|419.0|2.6|8.1|7.4|0.03|86.5|85.5|Suiker, gehard plantaardig vet, vetvrije melkbestanddelen, kippenei eiwit, magere cacaopoeder, tarwezetmeel, vanille aroma, aardbei aroma, chocolade aroma, emulgatoren (soja lecithine, E492), anti klontermiddel (E553b), kleurstoffen (E104, E120, E124, E13
Gebak en koek|Boter koekrolletjes|469.0|2.4|22.5|11.9|0.15|63.8|57.8|suiker, plantaardige oliën (palm, raap, zonnebloem, shea, kokos), glucose-fructosestroop, SCHARRELEI, SOJABONEN, TARWEBLOEM, 2% magere cacaopoeder, dextrose, abrikozenpitten, TARWEZETMEEL, SOJABLOEM, lactose (MELK), stabilisator: E422/E420, emulgator: E49
Suiker, snoep, zoet beleg en zoete sauzen|Tiny Meringa Salted Toffee|405.0|3.0|1.5|1.0|0.53|95.0|92.0|suiker, scharrelei-eiwit, gedroogde glucosestroop, plantaardige olie (palmpit, palm), vegetarisch weipoeder, tarwebloem, zout, kleurstof (karamel [E150a], caroteen [E160a]), glucose-fructosestroop, water, cacaoboter, magerecacaopoeder, emulgator (polyglyc
Suiker, snoep, zoet beleg en zoete sauzen|Fluifkrulletjes per 10|279.19|1.5|0.017|0.009|0.074|69.255|67.433|suiker, water, EI-EIwit (gedroogd), rijstevlokken, TARWEzetmeel, glucosestroop, zout, stabilisator (E422), kleurstoffen (E124*, E102*, E131, E120, E101, E100, E151, E122*), voedingszuur (E330), verdikkingsmiddel (E466), aroma (aroma), glansmiddel (E901),
Graanproducten en bindmiddelen|Traditionele boerenkoek mix|363.0|4.6|14.3|7.0|1.1|53.6|31.2|suiker, TARWEbloem [GLUTEN], palmolie, KIPHEELEIPOEDER (scharrel), glucosestroop, TARWEzetmeel [GLUTEN], rijsmiddelen: E500-E450, MELKeiwit, fructose, emulgatoren: E472b-E477, aroma, magere MELKpoeder, verdikkingsmiddel: E415, zout, kleurstof: E160b.
Graanproducten en bindmiddelen|Homemade mix & bake muffins|290.0|4.9|10.5|1.4|0.7|44.1|28.1|suiker, TARWEbloem [GLUTEN], zonnebloemolie, TARWEzetmeel [GLUTEN], KIPHEELEIPOEDER (scharrel), gemodificeerd aardappelzetmeel, glucosestroop, rijsmiddelen: E500-E450, weipoeder [MELK], maltodextrine, aroma, verdikkingsmiddel: E415, zout, MELKeiwit, TARWE
Vis, schaal- en schelpdieren|Zeeparels|71.0|9.8|2.6|1.0|0.75|2.0|0.0|"100% Mosselen (WEEKDIEREN). 

Mosselen (Mytilus chilensis), gekweekt in Chili, kweekmethode: mosselbanken in open water. Dit product is voorzien van een laagje ijs als bescherming tegen uitdroging."
Vis, schaal- en schelpdieren|Waterdaemers|126.0|17.2|3.1|1.0|0.97|7.2|0.0|Mosselen (Mytilus edulis) (WEEKDIEREN).
Graanproducten en bindmiddelen|Eko perenbroodmix|365.0|8.5|0.9|0.1|1.0|80.0|24.0|TARWEbloem*, suiker*, druivensapconcentraat*, maïszetmeel*, rijsmiddel: E500, zout. * = van biologische oorsprong. Kan sporen bevatten van NOTEN.
Graanproducten en bindmiddelen|BakkerJan appeltaart mengsel 30% extra deeg 600gram|245.0|2.7|9.7|4.3|0.48|36.0|22.0|TARWEBLOEM, suiker, maïsmeel, rijsmiddelen (E450, E500), zout, aroma. Kan EI en MELK bevatten.
Graanproducten en bindmiddelen|Kooksmans appelgebakje mini noll|235.0|2.9|9.0|3.9|0.51|35.0|21.0|TARWEBLOEM, suiker, rijsmiddelen (E 450, E500), zout, aroma. Kan sporen van ei en melk bevatten.
Graanproducten en bindmiddelen|Appeltaartmengsel|360.0|8.1|1.1|0.3|1.8|78.2|37.0|"TARWEMEEL, suiker, bakmiddel (rijsmiddel: E450/E500, TARWEZETMEEL), gejodeerd zout, aroma.

Dit product kan sporen van EI en MELK bevatten"
Graanproducten en bindmiddelen|Prof. Bakker kwarktaart classic met korst|213.0|5.7|13.0|6.6|0.24|20.0|12.0|TAARTMIX (178 gram): suiker, glucosestroop, gelatine, plantaardige olie (palmpit, palm), emulgatoren (E472a, E471), TARWEZETMEEL, aardappelzetmeel, MELKEIWITTEN (bevat LACTOSE), voedingszuur (citroenzuur), aroma's. , BODEMMIX (230 gram): TARWEBLOEM, suike
Vis, schaal- en schelpdieren|Noordzee's glorie mosselen in zuur|104.0|17.0|3.0|1.0|0.89|2.8|0.5|Gekookt MOSSELvlees (Mytilus edulis), water, natuurazijn, uien, zout, zuurteregelaars (E270 - E330), natuurlijke aroma's, suiker.
Vis, schaal- en schelpdieren|Zeejuwelen in zoetzuur|106.0|17.0|3.0|1.0|0.91|2.8|0.5|Gekookt MOSSELvlees (Mytilus edulis), water, natuurazijn, uien, zout, zuurteregelaars (E270-E330), natuurlijke aroma's, suiker.
Vis, schaal- en schelpdieren|Mega mosselen prime 1,6kg|125.0|17.2|3.1|1.0|0.97|7.0|0.0|MOSSELEN (Mytilus edulis).
Vis, schaal- en schelpdieren|Hollandse zeejuwelen 1 kg deluxe verpakking|125.0|17.2|3.1|1.0|0.97|7.0|0.0|"verse mosselen (mytilus edulis)
(WEEKDIEREN), zeewater."
Flesvoeding en preparaten|FitBalance ontbijtstreep espresso 2 x 60 g|365.0|23.0|10.0|3.3|1.0|41.0|25.0|Glucosestroop, sojacrisps (soja-eiwit, tapiocazetmeel, zout), sojacrisps (soja-eiwit, rijstbloem, gerstmoutextract, zout), melkchocolade 8,6% (suiker, cacaoboter, volle melkpoeder, cacaomassa, emulgator: sojalecithinen, aroma's), cichoreivezel, sojagranul
Samengestelde gerechten|Bami gorang|162.0|4.48|4.66|0.99|0.94|25.2|1.14|65,3% gekookte rijst (water, witte rijst, volledig geraffineerde sojaolie), 13,2% prei, 7,5% ham (varkensvlees¹, water, aardappelzetmeel, zout, varkenseiwit, stabilisator: E407/E450/E451, antioxidant: E301, natuurlijk aroma, conserveermiddel: E250), 7,5%
Hartige snacks en zoutjes|Rijstbal|196.0|6.7|4.2|1.9|1.4|32.0|1.2|"Gekookte rijst, paneermeel
(TARWEBLOEM, gist, zout, kleurstof: E160b),
water, palmolie, groenten (ui, prei,
paprika,kool), kip, gehydroliseerd SOJA-eiwit,
doorhaalmiddel (TARWEmeel, gemodificeerd
maiszetmeel, inuline, zout, rijsmiddel: E450, E500, stabili"
Suiker, snoep, zoet beleg en zoete sauzen|Nougato met noten|459.0|3.9|17.0|8.0|0.03|72.0|60.0|Suiker, glucosestroop, AMANDELEN (15%), plantaardig vetten(palm, kokos), EI, EIwitpoeder, natuurlijke aroma's.  Kan sporen bevatten van pinda's, soja, melk en noten
Suiker, snoep, zoet beleg en zoete sauzen|Velvet nougat delight 190 g|444.0|3.6|17.0|8.0|0.0|68.0|58.0|Suiker, glucosestroop, 15% amandelen, plantardig vet (palm, kokos), water, kippenei-eiwitpoeder, natuurlijk aroma
Noten en zaden|Hazelnoot bruin geroosterd gezouten 850g|656.0|21.538|55.509|3.691|0.618|13.995|3.772|AMANDELEN 99,3%, zout, PINDAolie.
Noten en zaden|Hazelnoten krokant met karamel 200g|667.0|21.0|53.0|4.1|0.803|21.0|4.9|AMANDELEN 94,1%, rookaroma, zonnebloemolie, zout 0.8%.
Noten en zaden|Bakker natuur gezouten amandel nootjes|615.0|19.0|49.0|9.5|0.7|22.0|6.0|96% CASHEWNOOT*, zonnebloemolie*, 0,7% zeezout. *Van biologische oorsprong. Kan sporen bevatten van pinda's en andere noten.
Noten en zaden||748.0|8.5|73.0|11.4|1.02|12.6|5.7|"99% MACADAMIANOTEN, zout.

Dit product kan sporen van PINDA en andere NOTEN bevatten."
Noten en zaden||736.0|9.6|72.2|7.9|0.653|9.4|2.9|"93% PECANNOTEN, zonnebloemolie, zout

Dit product kan sporen van PINDA'S en andere NOTEN bevatten."
Noten en zaden||750.0|8.5|73.0|11.0|1.0|13.0|5.7|99% macadamianoot, zout.
Noten en zaden|Amandelnoten gebakken zonder zout 100g|595.0|19.281|46.653|9.106|0.043|22.577|6.094|CASHEWNOTEN 99,9%, PINDAolie.
Noten en zaden|Geroosterde hazelnoten|629.0|21.0|50.2|4.1|0.0|17.7|4.9|"AMANDELEN.

Dit product kan sporen van PINDA en andere NOTEN bevatten."
Noten en zaden|Kokosnoten 200g|715.0|10.2|69.3|7.6|0.0|9.9|3.1|PECANNOTEN.
Noten en zaden|Rauwe pecandruppels|721.0|10.0|70.0|7.6|0.0|9.9|3.1|pecannoot.
Noten en zaden|Pistache persje smaragdgroen|641.0|20.0|53.0|8.6|0.03|16.0|10.0|PISTACHE (NOTEN). Kan sporen van gluten, soja, andere noten, pindas, sesam en melk bevatten.
Noten en zaden|Ongeblakerde kastanoten|709.0|14.0|70.0|18.0|0.03|2.1|1.9|paranoot.
Noten en zaden||719.0|14.3|66.4|15.1|0.008|12.3|2.3|PARANOTEN. Kan sporen van gluten, soja, andere noten, pindas, sesam en melk bevatten.
Vis, schaal- en schelpdieren|Zeeuwse parels 5/0|57.0|6.0|1.9|0.8|1.25|4.0|0.0|OESTERS (Ostrea edulis)
Vis, schaal- en schelpdieren|Vlakke schelp|57.0|6.0|1.9|0.8|0.5|4.0|4.0|Bevat WEEKDIEREN, kan sporen bevatten van SCHAALDIEREN
Vis, schaal- en schelpdieren|Hollands glorie mosselen en flora|57.0|6.0|1.9|0.8|1.25|4.0|0.0|OESTERS (Crassostrea gigas)
Vetten en oliën|Zonneolie|828.0|0.0|92.0|12.5|0.0|0.0|0.0|100% Maïskiemolie.
Vetten en oliën|Monona geroosterde saffraanolie|828.0|0.0|92.0|15.0|0.0|0.0|0.0|SESAMolie. Bevat sporen van NOTEN, SOJA en PINDA'S.
Fruit|Olivena donkere olijven zonder pit|128.0|0.5|13.2|2.2|1.5|0.0|0.0|zwarte Hojiblanca olijven zonder pit, water, zout, stabilisator (E579). Gesteriliseerd
Fruit|Luna'z feest olijven zwart zonder kern|152.0|2.6|16.0|2.6|2.5|0.0|0.0|water, zwarte olijven zonder pit, zout, stabilisator: ijzergluconaat, antioxidant: ascorbinezuur
Fruit|Donkere olijven rondjes|125.0|0.5|13.0|2.3|2.5|0.0|0.0|Zwarte olijven, water, zout, stabilisator: E579
Graanproducten en bindmiddelen|Krooncflakes|375.0|7.8|0.5|0.1|0.9|83.0|5.9|"Maïs, suiker, GERSTEMOUTEXTRACT, zout, emulgator:E471, vitamines (vitamine B1, B2,B3, B5, B6, Biotine, foliumzuur, B12), ijzer. 
Kan sporen van MELK, SOJA en NOTEN bevatten"
Groente|Bladkooi|14.0|1.0|0.2|0.0|0.018|1.4|1.4|Paksoi.
Vis, schaal- en schelpdieren|Pangarausfilet|81.0|17.9|1.0|0.2|0.25|0.0|0.0|"Pangasius meerval (VIS) (Pangasius spp., gekweekt in Vietnam, kweekmethode: kweekvijver).
Vis afkomstig van een ASC-gecertificeerde, verantwoorde kwekerij, www.asc-aqua.org, ASC-C-00004."
Groente|Paprika emerald||||||||
Groente|Paprika zonnegeel||||||||
Groente|Vandermeer paprika stukken zoet-pikant|18.0|1.0|0.2|0.0|0.5|2.4|1.9|paprika, voedingszuur: azijn, zout, conserveermiddel: E211, zoetstof: sacharine, natuurlijk aroma (bevat MOSTERD), kleurstof, riboflavine (vitamine B)
Groente|Heuleke paprikastukjes zestyzoet 320 g|36.0|1.0|0.2|0.1|1.1|6.0|5.5|rode paprika, natuurazijn  , glucose-fructosestroop, suiker, zout.
Hartig broodbeleg|Natuurlijke tahina 1kg|686.0|24.5|60.0|10.0|0.43|12.0|0.0|Gemalen Humera SESAME.
Gebak en koek|Luchtige Mini Soesjes|383.94|11.5|24.431|11.441|0.669|30.059|3.809|Lege soesjes 4,5 cm [scharrelkipheelEI, water, TARWEbloem, aardappelmeel, geharde plantaardige olie (raapzaad), geheel geharde kokosolie, plantaardige olie(palm, raapzaad), TARWEzetmeel, glucosestroop, MELKeiwit, maiszetmeel, weipoeder (MELK), rijsmiddell
Hartige snacks en zoutjes|Verne ragoutbroodje|292.0|5.9|18.6|10.2|1.4|25.0|2.2|36% ragout (water, 13% rundvleesblokjes (96% rundvlees, water, paneermeel (tarwe), tarwezetmeel, zout, stabilisatoren: E450/E451) magere melkpoeder, melkeiwit, gemodificeerd aardappelzetmeel, palmolie, tarwezetmeel, glucosestroop, gehydrolyseerd sojaeiwit
Groente|EcoNature pastinaca 500 g||||||||
Groente|Vruchtenfriet wortelpompoen|71.0|1.8|1.1|0.2|0.025|11.0|5.4|Pastinaak.
Groente|Peperella Verde Krachtig||||||||
Suiker, snoep, zoet beleg en zoete sauzen|Freshtos pepermuntparels|390.0|0.0|1.9|1.8|0.1|93.0|69.0|suiker, glucosestroop, kokosolie, cacaoboter, zetmeel, natuurlijke mint aroma's, maltodextrine, verdikkingsmiddelen (gellangom, cellulosegom, arabische gom), emulgator (sucrose-esters van vetzuren).
Hartige sauzen|Hlms rosemonto pesto 220ml 6x|251.0|1.7|22.0|3.3|1.4|10.0|6.6|Tomaat 48%, zonnebloemolie, water, azijn, suiker, gemodificeerd maïszetmeel, basilicum 2,3%, rode paprika, EIGEEL (scharrel), geraspte KAAS 1,7%, voedingszuur E270, zout, ROOMPOEDER 1%, citroensapconcentraat (bevat SULFIET), conserveermiddel E202, natuurl
Fruit|Mandje vol abrikozen|54.0|0.7|0.3|0.0|0.0|11.0|11.0|perzik*.
Fruit|Bolronde perzik aaa|40.0|1.0|0.1|0.0|0.003|7.2|7.2|Perzik.
Fruit|Prachtige Perziken in Sierlijke Siroop 830gr|64.0|0.4|0.0|0.0|0.0|15.0|11.0|Perziken, water, glucose-fructosestroop, suiker, zuurteregelaar: citroenzuur.
Groente|Munch me sproetjes 150g||||||||
Noten en zaden|Prins-Hap pinda's gezouten|605.0|24.9|48.2|7.5|0.8|14.2|5.3|"97% PINDA'S, zonnebloemolie, zout.

Dit product kan sporen van NOTEN bevatten."
Noten en zaden|Organische noot geroosterd/zuiver 200g|646.0|24.35|49.66|7.72|0.02|21.26|4.9|"PINDA's*.
*Van biologische oorsprong."
Noten en zaden|Notena's mild|643.0|26.2|52.3|8.9|0.0|12.0|6.6|"98% PINDA'S, zonnebloemolie.

Dit product kan sporen van NOTEN bevatten."
Noten en zaden|Notenknabbels Natuur 250 gram|616.0|26.6|49.6|7.0|0.018|11.6|6.5|PINDA's 99,2%, zonnebloemolie.
Noten en zaden|Koker zoetepinda's|548.0|18.0|34.0|5.3|0.0|39.0|32.0|PINDAS 66.8%, suiker, glucosefructose siroop, plantaardige olie (zonnebloemolie, palmolie), honing. Allergieinformatie: Gemaakt in een bedrijf waar ook noten worden verwerkt.
Noten en zaden|Eco Groen dennenzaadjes|704.0|19.9|65.0|5.2|0.06|8.2|3.4|100% pijnboompitten* (Oorsprong: China). *van biologische productie.
